PR,URL,HTTP status code,Content type,Is indexable page,Title,Title length,Meta description,Meta description length,H1,H1 length,Meta robots,Robots information in HTTP headers,Canonical URL,Canonical URL code,Size (bytes),No. of content words,Depth,No. of href inlinks,No. of inlinks dofollow,No. of internal outlinks,No. of external outlinks,Loading time (ms),Redirect URL,Redirect URL code,Final redirect URL,Final redirect URL code,Organic traffic,No. of backlinks,No. of dofollow backlinks,No. of nofollow backlinks,No. of referring domains,No. of referring pages
20,https://www.newyorkspecialed.net/districts/nyc-district-32-bushwick/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 32,39,"Direct phone numbers and emails for District 32 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-32-bushwick/leadership-directory.html,200,6588,1659,0,8,8,39,0,86,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-26-bayside/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 26,40,"Suspension, MDR, and discipline rights for students with disabilities in District 26.",85,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-26-bayside/discipline-rights.html,200,8363,2219,0,9,9,39,0,96,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/buffalo-city-sd/,200,text/html; charset=utf-8,true,Buffalo City SD Special Education Hub | newyorkspecialed.net,60,"Complete guide to Special Education in Buffalo City SD. Contacts, CSE meetings, evaluation timelines, and parent rights.",120,Buffalo City SD Special Ed Hub,30,,,https://www.newyorkspecialed.net/districts/buffalo-city-sd/,200,8716,2347,0,1,1,41,0,39,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/,200,text/html; charset=utf-8,true,District 17 Special Education Hub | newyorkspecialed.net,56,"Complete guide to Special Education in District 17. Contacts, CSE meetings, evaluation timelines, and parent rights.",116,District 17 Special Ed Hub,26,,,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/,200,7736,1929,0,1,1,41,0,59,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-27-rockaway/special-ed-updates.html,200,text/html; charset=utf-8,true,District 27 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 27 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 27 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-27-rockaway/special-ed-updates.html,200,6421,1230,1,8,8,40,0,82,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-28-forest-hills/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 28,39,"Direct phone numbers and emails for District 28 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-28-forest-hills/leadership-directory.html,200,6234,1553,0,8,8,39,0,44,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/greece-csd/,200,text/html; charset=utf-8,true,Special Education Resources — Greece CSD | NY Special Ed,56,Navigating special education in Greece CSD can be challenging. Understand your rights in the CSE process. Get support and resources for your child's IEP.,153,Special Education Resources in Greece CSD,41,,,https://www.newyorkspecialed.net/districts/greece-csd/,200,2120,310,2,0,0,8,0,48,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-08-throgs-neck/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 8,38,"Direct phone numbers and emails for District 8 Committee on Special Education (CSE), CPSE, and leadership offices.",114,,,,,https://www.newyorkspecialed.net/districts/nyc-district-08-throgs-neck/leadership-directory.html,200,6583,1646,0,8,8,39,0,41,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-11-pelham-parkway/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 11,39,"Direct phone numbers and emails for District 11 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-11-pelham-parkway/leadership-directory.html,200,6414,1604,0,8,8,39,0,42,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/special-ed-updates.html,200,text/html; charset=utf-8,true,District 12 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 12 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 12 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/special-ed-updates.html,200,6730,1310,1,8,8,40,0,61,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/william-floyd-ufsd/special-ed-updates.html,200,text/html; charset=utf-8,true,William Floyd UFSD Special Education: Essential Parent Intel & Updates,70,"Stay ahead of William Floyd UFSD special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",148,William Floyd UFSD Special Education: Parent Intel,50,,,https://www.newyorkspecialed.net/districts/william-floyd-ufsd/special-ed-updates.html,200,6951,1426,1,8,8,40,0,57,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/east-ramapo-csd/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support — East Ramapo CSD | NY Special Ed,71,"Find special education advocates and providers for East Ramapo CSD. Get help navigating CSE meetings, IEPs, and special education rights in Rockland County.",156,Special Education Providers in East Ramapo CSD,46,,,https://www.newyorkspecialed.net/districts/east-ramapo-csd/partners.html,200,3482,618,2,8,8,8,8,42,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/styles/styles-nav-footer.css,200,text/css; charset=utf-8,false,,,,,,,,,,,2067,0,1,0,0,0,0,73,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/albany-city-sd/special-ed-updates.html,200,text/html; charset=utf-8,true,Albany City SD Special Education: Essential Parent Intel & Updates,66,"Stay ahead of Albany City SD special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",144,Albany City SD Special Education: Parent Intel,46,,,https://www.newyorkspecialed.net/districts/albany-city-sd/special-ed-updates.html,200,6418,1297,1,9,9,40,0,60,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 31,39,"Direct phone numbers and emails for District 31 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/leadership-directory.html,200,6345,1555,0,9,9,39,0,55,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-30-astoria/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 30,40,"Suspension, MDR, and discipline rights for students with disabilities in District 30.",85,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-30-astoria/discipline-rights.html,200,8936,2409,0,9,9,39,0,53,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-16-bed-stuy/special-ed-updates.html,200,text/html; charset=utf-8,true,District 16 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 16 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 16 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-16-bed-stuy/special-ed-updates.html,200,6603,1314,1,8,8,40,0,53,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/yonkers-city-sd/,200,text/html; charset=utf-8,true,Yonkers City SD Special Education Hub | newyorkspecialed.net,60,"Complete guide to Special Education in Yonkers City SD. Contacts, CSE meetings, evaluation timelines, and parent rights.",120,Yonkers City SD Special Ed Hub,30,,,https://www.newyorkspecialed.net/districts/yonkers-city-sd/,200,7459,1697,0,1,1,41,0,20,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 21,33,"Prepare for your Committee on Special Education meeting in District 21. Tips for Russian-speaking bilingual evaluations, D75 programs, beach community access.",158,Navigating Your CSE Meeting,27,,,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/cse-meeting-guide.html,200,9990,2874,0,8,8,39,0,36,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-79/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 79,39,Step-by-step guide to the 60-day special education evaluation timeline in District 79.,86,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-79/evaluation-process.html,200,10616,3167,0,8,8,39,0,44,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-27-rockaway/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 27 Rockaway Parents | NY Special Ed,71,"A parent's guide to CSE meetings, IEPs, & special education advocacy in NYC District 27 Rockaway. Learn about your rights & how to support your child.",150,Parent Advocacy Guide for NYC District 27 Rockaway,50,,,https://www.newyorkspecialed.net/districts/nyc-district-27-rockaway/parent-advocacy-guide.html,200,5042,1156,1,3,3,40,0,56,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/buffalo-city-sd/special-ed-updates.html,200,text/html; charset=utf-8,true,Buffalo City SD Special Education: Essential Parent Intel & Updates,67,"Stay ahead of Buffalo City SD special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",145,Buffalo City SD Special Education: Parent Intel,47,,,https://www.newyorkspecialed.net/districts/buffalo-city-sd/special-ed-updates.html,200,6468,1203,1,9,9,40,0,62,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-13-brooklyn-heights/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 13,39,"Direct phone numbers and emails for District 13 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-13-brooklyn-heights/leadership-directory.html,200,6610,1745,0,9,9,39,0,65,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-79/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 79 Parents | NY Special Ed,62,"A parent's guide to navigating CSE meetings & special education in NYC District 79. Understand your rights, IEPs, & advocate effectively for your child.",152,Parent Advocacy Guide for NYC District 79,41,,,https://www.newyorkspecialed.net/districts/nyc-district-79/parent-advocacy-guide.html,200,5060,1128,1,3,3,40,0,55,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-19-east-new-york/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 19 East New York Parents | NY Special Ed,76,A parent's guide to navigating CSE meetings and IEPs in NYC District 19 East New York. Learn about your rights and how to advocate for your child's special education.,166,Parent Advocacy Guide for NYC District 19 East New York,55,,,https://www.newyorkspecialed.net/districts/nyc-district-19-east-new-york/parent-advocacy-guide.html,200,4904,1096,1,3,3,40,0,61,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/greece-csd/special-ed-updates.html,200,text/html; charset=utf-8,true,Special Education Updates — Greece CSD | NY Special Ed,54,"Stay informed about special education in Greece CSD! Get the latest news, policy updates, and important information for families in the district.",145,Special Education Updates for Greece CSD,40,,,https://www.newyorkspecialed.net/districts/greece-csd/special-ed-updates.html,200,1798,289,2,8,8,6,2,40,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/hempstead-ufsd/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in Hempstead UFSD | NY Special Ed,71,"Navigating special education in Hempstead UFSD? Learn about CSE meetings, IEPs, and your rights. Find local resources and advocates for Hempstead students.",155,Special Education Providers in Hempstead UFSD,45,,,https://www.newyorkspecialed.net/districts/hempstead-ufsd/partners.html,200,5353,825,1,8,8,40,9,55,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/central-islip-ufsd/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for Central Islip UFSD,40,"Prepare for your Committee on Special Education meeting in Central Islip UFSD. Tips for Bilingual (Spanish), high special ed %, evaluation timelines.",149,Navigating Your CSE Meeting,27,,,https://www.newyorkspecialed.net/districts/central-islip-ufsd/cse-meeting-guide.html,200,10344,2793,0,8,8,39,0,56,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/freeport-ufsd/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in Freeport UFSD,41,Step-by-step guide to the 60-day special education evaluation timeline in Freeport UFSD.,88,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/freeport-ufsd/evaluation-process.html,200,11314,3517,0,8,8,39,0,73,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/sachem-csd/discipline-rights.html,200,text/html; charset=utf-8,true,Discipline Rights — Sachem CSD | NY Special Ed — Sachem CSD | NY Special Ed,75,"Understand your child's special education discipline rights in Sachem CSD. Learn about suspensions, IEPs, Manifestation Determination Reviews, and more.",152,Discipline Rights & Impartial Hearings in Sachem CSD,52,,,https://www.newyorkspecialed.net/districts/sachem-csd/discipline-rights.html,200,2960,761,2,8,8,6,0,45,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-28-forest-hills/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 28,33,"Prepare for your Committee on Special Education meeting in District 28. Tips for Diverse multilingual evaluations, Indo-Caribbean bilingual, large district challenges.",167,Navigating Your CSE Meeting,27,,,https://www.newyorkspecialed.net/districts/nyc-district-28-forest-hills/cse-meeting-guide.html,200,8990,2357,0,8,8,39,0,144,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-03-upper-west-side/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 3,32,"Prepare for your Committee on Special Education meeting in District 3. Tips for Inclusion programs, ASD Horizon programs, ICT classrooms.",137,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-03-upper-west-side/cse-meeting-guide.html,200,10054,2909,0,9,9,39,0,44,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-14-williamsburg/,200,text/html; charset=utf-8,true,District 14 Special Education Hub | newyorkspecialed.net,56,"Complete guide to Special Education in District 14. Contacts, CSE meetings, evaluation timelines, and parent rights.",116,District 14 Special Ed Hub,26,,,https://www.newyorkspecialed.net/districts/nyc-district-14-williamsburg/,200,7754,1872,0,1,1,41,0,47,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-79/,200,text/html; charset=utf-8,true,District 79 Special Education Hub | newyorkspecialed.net,56,"Complete guide to Special Education in District 79. Contacts, CSE meetings, evaluation timelines, and parent rights.",116,District 79 Special Ed Hub,26,,,https://www.newyorkspecialed.net/districts/nyc-district-79/,200,7640,1849,0,1,1,41,0,83,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/rochester-city-sd/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for Rochester City SD Parents | NY Special Ed,64,"A parent's guide to special education in Rochester City SD. Learn about CSE meetings, IEPs, parent rights, and effective strategies for advocating for your child.",162,Parent Advocacy Guide for Rochester City SD,43,,,https://www.newyorkspecialed.net/districts/rochester-city-sd/parent-advocacy-guide.html,200,5315,1262,2,1,1,40,0,46,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in Niagara Falls City SD,50,"Suspension, MDR, and discipline rights for students with disabilities in Niagara Falls City SD.",95,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/discipline-rights.html,200,9067,2418,0,8,8,39,0,64,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/,200,text/html; charset=utf-8,true,New Rochelle City SD Special Education Hub | newyorkspecialed.net,65,"Complete guide to Special Education in New Rochelle City SD. Contacts, CSE meetings, evaluation timelines, and parent rights.",125,New Rochelle City SD Special Ed Hub,35,,,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/,200,7483,1843,0,1,1,41,0,48,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/,200,text/html; charset=utf-8,true,Poughkeepsie City SD Special Education Hub | newyorkspecialed.net,65,"Complete guide to Special Education in Poughkeepsie City SD. Contacts, CSE meetings, evaluation timelines, and parent rights.",125,Poughkeepsie City SD Special Ed Hub,35,,,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/,200,7498,1835,0,1,1,41,0,40,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/white-plains-city-sd/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: White Plains City SD,48,"Direct phone numbers and emails for White Plains City SD Committee on Special Education (CSE), CPSE, and leadership offices.",124,,,,,https://www.newyorkspecialed.net/districts/white-plains-city-sd/leadership-directory.html,200,6663,1753,0,8,8,39,0,43,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/hempstead-ufsd/special-ed-updates.html,200,text/html; charset=utf-8,true,Hempstead UFSD Special Education: Essential Parent Intel & Updates,66,"Stay ahead of Hempstead UFSD special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",144,Hempstead UFSD Special Education: Parent Intel,46,,,https://www.newyorkspecialed.net/districts/hempstead-ufsd/special-ed-updates.html,200,6173,1111,1,8,8,40,0,50,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/schenectady-city-sd/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for Schenectady City SD,41,"Prepare for your Committee on Special Education meeting in Schenectady City SD. Tips for High needs, refugee families, bilingual evaluations, CSE advocacy.",155,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/schenectady-city-sd/cse-meeting-guide.html,200,9673,2649,0,8,8,39,0,49,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 17,39,"Direct phone numbers and emails for District 17 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/leadership-directory.html,200,6543,1718,0,8,8,39,0,41,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/greece-csd/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide — Greece CSD | NY Special Ed — Greece CSD | NY Special Ed,75,A guide for Greece CSD special education parents navigating CSE meetings. Learn your rights and how to prepare for your child's IEP. Free information.,150,CSE Meeting Guide for Greece CSD Parents,40,,,https://www.newyorkspecialed.net/districts/greece-csd/cse-meeting-guide.html,200,3184,789,2,8,8,6,0,38,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth/special-ed-updates.html,200,text/html; charset=utf-8,true,District 24 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 24 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 24 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth/special-ed-updates.html,200,6290,1171,1,9,9,40,0,84,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/,200,text/html; charset=utf-8,true,District 21 Special Education Hub | newyorkspecialed.net,56,"Complete guide to Special Education in District 21. Contacts, CSE meetings, evaluation timelines, and parent rights.",116,District 21 Special Ed Hub,26,,,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/,200,7689,1902,0,1,1,41,0,75,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-20-bay-ridge/special-ed-updates.html,200,text/html; charset=utf-8,true,District 20 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 20 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 20 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-20-bay-ridge/special-ed-updates.html,200,6524,1240,1,9,9,40,0,47,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-25-flushing/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 25,39,"Direct phone numbers and emails for District 25 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-25-flushing/leadership-directory.html,200,6511,1641,0,8,8,39,0,65,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-75/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 75,40,"Suspension, MDR, and discipline rights for students with disabilities in District 75.",85,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-75/discipline-rights.html,200,9726,2748,0,9,9,39,0,42,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/central-islip-ufsd/special-ed-updates.html,200,text/html; charset=utf-8,true,Central Islip UFSD Special Education: Essential Parent Intel & Updates,70,"Stay ahead of Central Islip UFSD special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",148,Central Islip UFSD Special Education: Parent Intel,50,,,https://www.newyorkspecialed.net/districts/central-islip-ufsd/special-ed-updates.html,200,6336,1193,1,8,8,40,0,13,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 23,39,Step-by-step guide to the 60-day special education evaluation timeline in District 23.,86,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/evaluation-process.html,200,11369,3359,0,8,8,39,0,52,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 24,39,Step-by-step guide to the 60-day special education evaluation timeline in District 24.,86,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth/evaluation-process.html,200,10031,2823,0,9,9,39,0,48,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in Poughkeepsie City SD,48,Step-by-step guide to the 60-day special education evaluation timeline in Poughkeepsie City SD.,95,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/evaluation-process.html,200,9705,2780,0,8,8,39,0,91,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-18-east-flatbush/special-ed-updates.html,200,text/html; charset=utf-8,true,District 18 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 18 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 18 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-18-east-flatbush/special-ed-updates.html,200,6425,1266,1,8,8,40,0,81,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 12,39,Step-by-step guide to the 60-day special education evaluation timeline in District 12.,86,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/evaluation-process.html,200,10111,2857,0,8,8,39,0,41,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/schenectady-city-sd/,200,text/html; charset=utf-8,true,Schenectady City SD Special Education Hub | newyorkspecialed.net,64,"Complete guide to Special Education in Schenectady City SD. Contacts, CSE meetings, evaluation timelines, and parent rights.",124,Schenectady City SD Special Ed Hub,34,,,https://www.newyorkspecialed.net/districts/schenectady-city-sd/,200,7630,1884,0,1,1,41,0,45,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-03-upper-west-side/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 03 Upper West Side | NY Special Ed,88,"Navigating special education in NYC District 03 (Upper West Side) can be complex. Learn about CSE meetings, IEPs, and find local parent advocates to support your child.",168,Special Education Providers in NYC District 03 Upper West Side,62,,,https://www.newyorkspecialed.net/districts/nyc-district-03-upper-west-side/partners.html,200,5338,869,1,9,9,40,9,57,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for Poughkeepsie City SD,42,"Prepare for your Committee on Special Education meeting in Poughkeepsie City SD. Tips for Small city high needs, CSE process, behavior supports.",144,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/cse-meeting-guide.html,200,9899,2640,0,8,8,39,0,91,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-16-bed-stuy/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 16,39,Step-by-step guide to the 60-day special education evaluation timeline in District 16.,86,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-16-bed-stuy/evaluation-process.html,200,9266,2450,0,8,8,39,0,62,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/utica-city-sd/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in Utica City SD,42,"Suspension, MDR, and discipline rights for students with disabilities in Utica City SD.",87,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/utica-city-sd/discipline-rights.html,200,8153,2048,0,8,8,39,0,96,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-02-upper-east-side/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 2,38,Step-by-step guide to the 60-day special education evaluation timeline in District 2.,85,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-02-upper-east-side/evaluation-process.html,200,10384,3010,0,9,9,39,0,39,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 23,40,"Suspension, MDR, and discipline rights for students with disabilities in District 23.",85,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/discipline-rights.html,200,8668,2379,0,8,8,39,0,61,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/syracuse-city-sd/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: Syracuse City SD,44,"Direct phone numbers and emails for Syracuse City SD Committee on Special Education (CSE), CPSE, and leadership offices.",120,,,,,https://www.newyorkspecialed.net/districts/syracuse-city-sd/leadership-directory.html,200,6956,1952,0,9,9,39,0,46,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/schenectady-city-sd/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in Schenectady City SD,48,"Suspension, MDR, and discipline rights for students with disabilities in Schenectady City SD.",93,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/schenectady-city-sd/discipline-rights.html,200,7935,1945,0,8,8,39,0,55,,,,,0,0,0,0,0,0
